schema_version	rds_id	cell_type_high_resolution	sex	apoe_group	diagnosis	nuclei	donors	median_nCount_RNA	median_nFeature_RNA	median_nCount_MT	median_percent_mt	q25_percent_mt	q75_percent_mt	median_nFeature_MT	median_percent_mitocarta	zero_mt_nuclei	zero_mt_fraction	robust_flagged_nuclei	robust_flagged_fraction	donor_celltype_samples	median_nuclei_per_donor	q25_nuclei_per_donor	q75_nuclei_per_donor	primary_eligible_donors	sensitivity_eligible_donors	primary_ineligible_donors	sensitivity_ineligible_donors	group_has_nuclei	primary_side_eligible	sensitivity_side_eligible	minimum_donors_per_contrast_side
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Female	e2	AD	105	6	6405	2842	17	0.259672812256557	0.14667644509634	0.455886296594261	8	4.90592998332936	0	0	1	0.00952380952380952	6	12.5	3	31	2	0	4	6	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Female	e2	NCI	1104	16	5450	2537	12	0.233608477866679	0.110381676497867	0.538755487385625	6	4.8286175072318	21	0.0190217391304348	24	0.0217391304347826	16	11.5	1.75	77	6	6	10	10	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Female	e33	AD	1974	35	7176	3050	24	0.349607942686297	0.161928026542434	0.767522434444501	8	4.95301877298022	10	0.00506585612968592	98	0.049645390070922	35	7	4.5	45	11	7	24	28	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Female	e33	NCI	3186	43	6608	2911.5	18	0.28356423624443	0.0885838485749401	0.67757063905166	8	4.96993569991189	158	0.0495919648462021	66	0.0207156308851224	43	11	4	86.5	17	14	26	29	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Female	e4	AD	1193	22	6964	2993	24	0.353794445427207	0.16366612111293	0.697461696775669	8	4.88188976377953	13	0.010896898575021	33	0.027661357921207	22	19	4.25	42.25	11	5	11	17	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Female	e4	NCI	1298	11	5534	2629	24	0.407829660578767	0.192853158378221	0.881409134810543	8	4.96832188210272	10	0.00770416024653313	100	0.0770416024653313	11	25	5.5	213.5	6	5	5	6	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Male	e2	AD	262	6	3576	1991	10	0.253579632607257	0.133035558351412	0.513384878755385	6	5.0579849710883	6	0.0229007633587786	2	0.00763358778625954	6	1.5	1	2.75	1	1	5	5	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Male	e2	NCI	466	5	4460	2180.5	11.5	0.274922445975078	0.136381049992427	0.515380285716838	6	4.69394640447272	7	0.0150214592274678	7	0.0150214592274678	5	23	21	208	4	2	1	3	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Male	e33	AD	466	25	5571	2657.5	16	0.307731765541461	0.125891020905297	0.646711277326417	7	4.88751700412528	5	0.0107296137339056	17	0.036480686695279	25	7	2	27	8	3	17	22	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Male	e33	NCI	4424	52	6889.5	2962.5	18	0.270136419439119	0.127054043052684	0.566400341043483	8	4.78465116422247	36	0.0081374321880651	72	0.0162748643761302	52	14	2.75	72.5	24	17	28	35	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Male	e4	AD	1655	24	5083	2491	20	0.444921755139613	0.213362125198467	0.85248885268124	8	4.92957746478873	25	0.0151057401812689	75	0.0453172205438066	24	7	3.5	65.75	9	7	15	17	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast CHI3L1	Male	e4	NCI	412	9	4675	2326.5	9	0.309432442080006	0.10263351393725	0.663582482216837	6	5.08571500904769	25	0.0606796116504854	13	0.0315533980582524	9	23	7	70	5	3	4	6	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Female	e2	AD	560	8	2996	1753	9	0.281891372852587	0.116669283103188	0.633521106370658	6	4.86108786629367	18	0.0321428571428571	59	0.105357142857143	8	46	14	82.75	5	3	3	5	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Female	e2	NCI	936	17	3575.5	1905	8	0.231522164631126	0.107976790890728	0.548945233192746	5	4.74706332728639	27	0.0288461538461538	67	0.0715811965811966	17	31	23	83	13	6	4	11	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Female	e33	AD	2867	37	4098	2130	10	0.289855072463768	0.122461844243631	0.663986998339849	6	4.83579001810189	71	0.0247645622602023	236	0.0823160097663063	37	59	37	94	31	21	6	16	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Female	e33	NCI	4084	45	3165	1780	8	0.252791247788676	0.10023393867405	0.589582531125658	5	4.80364117685294	185	0.0452987267384917	301	0.0737022526934378	45	70	40	121	40	31	5	14	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Female	e4	AD	1824	26	4383.5	2219	10	0.235549450289677	0.0964274795889674	0.626767059868629	6	4.76479323389659	67	0.0367324561403509	163	0.0893640350877193	26	69.5	17.75	101	19	17	7	9	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Female	e4	NCI	916	11	3998.5	2103	11	0.326657090016897	0.140984748031646	0.690998420200458	6	4.91721952904463	15	0.0163755458515284	78	0.0851528384279476	11	80	40.5	100	11	8	0	3	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Male	e2	AD	659	7	3497	1952	6	0.180383314543405	0.0788539900595679	0.356125536788225	4	4.78553704360156	18	0.0273141122913505	13	0.0197268588770865	7	64	30	88.5	5	4	2	3	TRUE	TRUE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Male	e2	NCI	305	6	1476	952	5	0.249511824690822	0.112233445566779	0.464861908668307	4	4.74978795589483	14	0.0459016393442623	10	0.0327868852459016	6	22.5	17.5	92	4	2	2	4	TRUE	FALSE	FALSE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Male	e33	AD	1859	27	3906	2087	7	0.177619893428064	0.0797679049919878	0.445957630782533	5	4.79328939484721	73	0.0392684238838085	105	0.0564819795589026	27	52	28.5	92	22	17	5	10	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Male	e33	NCI	5177	53	3498	1925	6	0.198591803574652	0.0859352621025494	0.45045045045045	5	4.77564102564103	222	0.0428819779795248	269	0.0519605949391539	53	75	37	140	46	34	7	19	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Male	e4	AD	1565	27	4027	2100	10	0.299625468164794	0.11536982438149	0.667408231368187	6	4.85671191553544	38	0.0242811501597444	147	0.0939297124600639	27	48	23.5	78.5	22	13	5	14	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast DPP10	Male	e4	NCI	979	10	4431	2221	5	0.158144438587243	0.058455612757108	0.404500738362423	4	4.72189349112426	84	0.0858018386108274	36	0.0367722165474974	10	79	34.75	93.25	8	7	2	3	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Female	e2	AD	957	8	4006	2044	22	0.564102564102564	0.227790432801822	1.14427860696517	8	5.30718954248366	20	0.0208986415882968	68	0.071055381400209	8	72.5	37.5	148.25	6	5	2	3	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Female	e2	NCI	2720	17	5330.5	2528	23	0.497760558391759	0.216157842507734	1.0723309125142	8	5.09817990993258	30	0.0110294117647059	153	0.05625	17	122	48	255	16	12	1	5	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Female	e33	AD	9577	37	5094	2471	23	0.508010941774131	0.223964165733483	1.09098612435123	8	5.14343485403766	103	0.0107549336953117	659	0.0688106922835961	37	190	76	341	36	31	1	6	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Female	e33	NCI	10462	45	5428	2561	18	0.392979795508198	0.163398129639876	0.871172142726295	8	5.01891473749528	255	0.0243739246797935	482	0.0460714968457274	45	151	44	374	41	32	4	13	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Female	e4	AD	5204	26	4961	2373	23	0.503973741395292	0.204581261087954	1.22643918730025	8	5.00070641424131	120	0.0230591852421214	586	0.11260568793236	26	118	81	292.75	24	21	2	5	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Female	e4	NCI	1797	11	7766	3191	50	0.737553779963122	0.326574010784537	1.45380647178365	10	5.24975858133614	3	0.00166944908180301	171	0.0951585976627713	11	156	39	210.5	8	8	3	3	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Male	e2	AD	1411	7	4283	2276	15	0.36144578313253	0.16171175136919	0.73024732211735	7	5.08108108108108	14	0.00992204110559887	65	0.0460666194188519	7	175	105.5	222	7	6	0	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Male	e2	NCI	1186	6	1402	933	12	0.602863944465646	0.241848354093296	1.97609071792718	7	5.80736391327838	37	0.0311973018549747	171	0.144182124789207	6	210.5	88	326.25	5	5	1	1	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Male	e33	AD	5946	29	4019	2106.5	17	0.451228481969283	0.180990231965152	1.08671043793689	8	5.16596797368553	90	0.0151362260343088	473	0.0795492768247561	29	169	59	312	27	22	2	7	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Male	e33	NCI	14440	53	4521.5	2307	16	0.375344068004619	0.159195536029886	0.873677933736383	7	5.13531430154272	209	0.0144736842105263	729	0.0504847645429363	53	163	60	418	45	40	8	13	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Male	e4	AD	4914	27	4307	2204	22	0.595024862794811	0.220414013983664	1.59181191439139	8	5.27474261479388	62	0.0126170126170126	624	0.126984126984127	27	174	85.5	252.5	24	23	3	4	TRUE	TRUE	TRUE	5
descriptive_group_coverage_v1	astrocytes	Ast GRM3	Male	e4	NCI	2144	10	4326.5	2196	21	0.5839483814258	0.238561942840989	1.3856448593231	8	5.21087602049478	31	0.0144589552238806	208	0.0970149253731343	10	194	102.25	321.5	10	9	0	1	TRUE	TRUE	TRUE	5
